port,L_path_um,n_tap,IL_db,IL_linear,att_db,needs_eq
131,9108.8,256,14.622,0.0345,0.000,False
132,9108.8,256,14.622,0.0345,0.000,False
133,9108.8,256,14.622,0.0345,0.000,False
134,9108.8,256,14.622,0.0345,0.000,False
135,9108.8,256,14.622,0.0345,0.000,False
136,9108.8,256,14.622,0.0345,0.000,False
137,9108.8,256,14.622,0.0345,0.000,False
138,9108.8,256,14.622,0.0345,0.000,False
139,9108.8,256,14.622,0.0345,0.000,False
140,9108.8,256,14.622,0.0345,0.000,False
141,9108.8,256,14.622,0.0345,0.000,False
142,9108.8,256,14.622,0.0345,0.000,False
143,9108.8,256,14.622,0.0345,0.000,False
144,9108.8,256,14.622,0.0345,0.000,False
145,9108.8,256,14.622,0.0345,0.000,False
146,9108.8,256,14.622,0.0345,0.000,False
147,9108.8,256,14.622,0.0345,0.000,False
148,9108.8,256,14.622,0.0345,0.000,False
149,9108.8,256,14.622,0.0345,0.000,False
150,9108.8,256,14.622,0.0345,0.000,False
151,9108.8,256,14.622,0.0345,0.000,False
152,9108.8,256,14.622,0.0345,0.000,False
153,9108.8,256,14.622,0.0345,0.000,False
154,9108.8,256,14.622,0.0345,0.000,False
155,9108.8,256,14.622,0.0345,0.000,False
156,9108.8,256,14.622,0.0345,0.000,False
157,9108.8,256,14.622,0.0345,0.000,False
158,9108.8,256,14.622,0.0345,0.000,False
159,9108.8,256,14.622,0.0345,0.000,False
160,9108.8,256,14.622,0.0345,0.000,False
161,9108.8,256,14.622,0.0345,0.000,False
162,9108.8,256,14.622,0.0345,0.000,False
163,9108.8,256,14.622,0.0345,0.000,False
164,9108.8,256,14.622,0.0345,0.000,False
165,9108.8,256,14.622,0.0345,0.000,False
166,9108.8,256,14.622,0.0345,0.000,False
167,9108.8,256,14.622,0.0345,0.000,False
168,9108.8,256,14.622,0.0345,0.000,False
169,9108.8,256,14.622,0.0345,0.000,False
170,9108.8,256,14.622,0.0345,0.000,False
171,9108.8,256,14.622,0.0345,0.000,False
172,9108.8,256,14.622,0.0345,0.000,False
173,9108.8,256,14.622,0.0345,0.000,False
174,9108.8,256,14.622,0.0345,0.000,False
175,9108.8,256,14.622,0.0345,0.000,False
176,9108.8,256,14.622,0.0345,0.000,False
177,9108.8,256,14.622,0.0345,0.000,False
178,9108.8,256,14.622,0.0345,0.000,False
179,9108.8,256,14.622,0.0345,0.000,False
180,9108.8,256,14.622,0.0345,0.000,False
181,9108.8,256,14.622,0.0345,0.000,False
182,9108.8,256,14.622,0.0345,0.000,False
183,9108.8,256,14.622,0.0345,0.000,False
184,9108.8,256,14.622,0.0345,0.000,False
185,9108.8,256,14.622,0.0345,0.000,False
186,9108.8,256,14.622,0.0345,0.000,False
187,9108.8,256,14.622,0.0345,0.000,False
188,9108.8,256,14.622,0.0345,0.000,False
189,9108.8,256,14.622,0.0345,0.000,False
190,9108.8,256,14.622,0.0345,0.000,False
191,9108.8,256,14.622,0.0345,0.000,False
192,9108.8,256,14.622,0.0345,0.000,False
193,9108.8,256,14.622,0.0345,0.000,False
194,9108.8,256,14.622,0.0345,0.000,False
195,9108.8,256,14.622,0.0345,0.000,False
196,9108.8,256,14.622,0.0345,0.000,False
197,9108.8,256,14.622,0.0345,0.000,False
198,9108.8,256,14.622,0.0345,0.000,False
199,9108.8,256,14.622,0.0345,0.000,False
200,9108.8,256,14.622,0.0345,0.000,False
201,9108.8,256,14.622,0.0345,0.000,False
202,9108.8,256,14.622,0.0345,0.000,False
203,9108.8,256,14.622,0.0345,0.000,False
204,9108.8,256,14.622,0.0345,0.000,False
205,9108.8,256,14.622,0.0345,0.000,False
206,9108.8,256,14.622,0.0345,0.000,False
207,9108.8,256,14.622,0.0345,0.000,False
208,9108.8,256,14.622,0.0345,0.000,False
209,9108.8,256,14.622,0.0345,0.000,False
210,9108.8,256,14.622,0.0345,0.000,False
211,9108.8,256,14.622,0.0345,0.000,False
212,9108.8,256,14.622,0.0345,0.000,False
213,9108.8,256,14.622,0.0345,0.000,False
214,9108.8,256,14.622,0.0345,0.000,False
215,9108.8,256,14.622,0.0345,0.000,False
216,9108.8,256,14.622,0.0345,0.000,False
217,9108.8,256,14.622,0.0345,0.000,False
218,9108.8,256,14.622,0.0345,0.000,False
219,9108.8,256,14.622,0.0345,0.000,False
220,9108.8,256,14.622,0.0345,0.000,False
221,9108.8,256,14.622,0.0345,0.000,False
222,9108.8,256,14.622,0.0345,0.000,False
223,9108.8,256,14.622,0.0345,0.000,False
224,9108.8,256,14.622,0.0345,0.000,False
225,9108.8,256,14.622,0.0345,0.000,False
226,9108.8,256,14.622,0.0345,0.000,False
227,9108.8,256,14.622,0.0345,0.000,False
228,9108.8,256,14.622,0.0345,0.000,False
229,9108.8,256,14.622,0.0345,0.000,False
230,9108.8,256,14.622,0.0345,0.000,False
231,9108.8,256,14.622,0.0345,0.000,False
232,9108.8,256,14.622,0.0345,0.000,False
233,9108.8,256,14.622,0.0345,0.000,False
234,9108.8,256,14.622,0.0345,0.000,False
235,9108.8,256,14.622,0.0345,0.000,False
236,9108.8,256,14.622,0.0345,0.000,False
237,9108.8,256,14.622,0.0345,0.000,False
238,9108.8,256,14.622,0.0345,0.000,False
239,9108.8,256,14.622,0.0345,0.000,False
240,9108.8,256,14.622,0.0345,0.000,False
241,9108.8,256,14.622,0.0345,0.000,False
242,9108.8,256,14.622,0.0345,0.000,False
243,9108.8,256,14.622,0.0345,0.000,False
244,9108.8,256,14.622,0.0345,0.000,False
245,9108.8,256,14.622,0.0345,0.000,False
246,9108.8,256,14.622,0.0345,0.000,False
247,9108.8,256,14.622,0.0345,0.000,False
248,9108.8,256,14.622,0.0345,0.000,False
249,9108.8,256,14.622,0.0345,0.000,False
250,9108.8,256,14.622,0.0345,0.000,False
251,9108.8,256,14.622,0.0345,0.000,False
252,9108.8,256,14.622,0.0345,0.000,False
253,9108.8,256,14.622,0.0345,0.000,False
254,9108.8,256,14.622,0.0345,0.000,False
255,9108.8,128,8.222,0.1506,6.400,True
