section,rail_or_j,col_c,phi_rad,V
MZI,0,0,-0.392699,-0.9375
MZI,2,0,-0.785398,-1.8750
MZI,1,1,-1.374447,-3.2812
MZI,0,2,-1.671914,-3.9914
MZI,4,0,-1.178097,-2.8125
MZI,3,1,-2.159845,-5.1563
MZI,2,2,-2.159845,-5.1563
MZI,1,3,-2.373138,-5.6654
MZI,0,4,-2.805009,-6.6965
MZI,6,0,-1.570796,-3.7500
MZI,5,1,-2.945243,-7.0313
MZI,4,2,-2.945243,-7.0313
MZI,3,3,-2.945243,-7.0313
MZI,2,4,-3.127943,-7.4674
MZI,1,5,2.795480,6.6737
MZI,0,6,2.312052,5.5196
MZI,8,0,-1.963495,-4.6875
MZI,7,1,2.552544,6.0938
MZI,6,2,2.552544,6.0938
MZI,5,3,2.552544,6.0938
MZI,4,4,2.552544,6.0938
MZI,3,5,2.370341,5.6588
MZI,2,6,2.046149,4.8848
MZI,1,7,1.632906,3.8983
MZI,0,8,1.135829,2.7116
MZI,10,0,-2.356194,-5.6250
MZI,9,1,1.767146,4.2187
MZI,8,2,1.767146,4.2187
MZI,7,3,1.767146,4.2187
MZI,6,4,1.767146,4.2187
MZI,5,5,1.767146,4.2187
MZI,4,6,1.552371,3.7060
MZI,3,7,1.231815,2.9407
MZI,2,8,0.865681,2.0667
MZI,1,9,0.444535,1.0612
MZI,0,10,-0.048350,-0.1154
MZI,12,0,-2.748894,-6.5625
MZI,11,1,0.981748,2.3437
MZI,10,2,0.981748,2.3438
MZI,9,3,0.981748,2.3438
MZI,8,4,0.981748,2.3438
MZI,7,5,0.981748,2.3438
MZI,6,6,0.981748,2.3438
MZI,5,7,0.658646,1.5724
MZI,4,8,0.306758,0.7323
MZI,3,9,-0.033758,-0.0806
MZI,2,10,-0.387753,-0.9257
MZI,1,11,-0.782882,-1.8690
MZI,0,12,-1.248633,-2.9809
MZI,14,0,3.141593,7.5000
MZI,13,1,0.196350,0.4687
MZI,12,2,0.196350,0.4687
MZI,11,3,0.196350,0.4688
MZI,10,4,0.196350,0.4688
MZI,9,5,0.196350,0.4688
MZI,8,6,0.196350,0.4688
MZI,7,7,0.196350,0.4688
MZI,6,8,-0.688584,-1.6439
MZI,5,9,-1.134675,-2.7088
MZI,4,10,-1.424315,-3.4003
MZI,3,11,-1.673263,-3.9946
MZI,2,12,-1.921932,-4.5883
MZI,1,13,-2.201703,-5.2562
MZI,0,14,-2.552544,-6.0937
MZI,14,2,0.297467,0.7101
MZI,13,3,0.510760,1.2193
MZI,12,4,0.693460,1.6555
MZI,11,5,0.875662,2.0905
MZI,10,6,1.090438,2.6032
MZI,9,7,1.413539,3.3746
MZI,8,8,2.298473,5.4872
MZI,7,9,2.298473,5.4872
MZI,6,10,2.075520,4.9549
MZI,5,11,1.948872,4.6526
MZI,4,12,1.855098,4.4287
MZI,3,13,1.771416,4.2289
MZI,2,14,1.683191,4.0183
MZI,1,15,1.570796,3.7500
MZI,14,4,0.431871,1.0310
MZI,13,5,0.791633,1.8899
MZI,12,6,1.115825,2.6638
MZI,11,7,1.436381,3.4291
MZI,10,8,1.788269,4.2692
MZI,9,9,2.234360,5.3341
MZI,8,10,2.457312,5.8664
MZI,7,11,2.457312,5.8664
MZI,6,12,2.457312,5.8664
MZI,5,13,2.457312,5.8664
MZI,4,14,2.457312,5.8664
MZI,3,15,2.457312,5.8664
MZI,14,6,0.483428,1.1541
MZI,13,7,0.896671,2.1406
MZI,12,8,1.262805,3.0147
MZI,11,9,1.603321,3.8276
MZI,10,10,1.892962,4.5191
MZI,9,11,2.019610,4.8215
MZI,8,12,2.019610,4.8215
MZI,7,13,2.019610,4.8215
MZI,6,14,2.019610,4.8215
MZI,5,15,2.019610,4.8215
MZI,14,8,0.497077,1.1867
MZI,13,9,0.918222,2.1921
MZI,12,10,1.272218,3.0372
MZI,11,11,1.521165,3.6315
MZI,10,12,1.614939,3.8554
MZI,9,13,1.614939,3.8554
MZI,8,14,1.614939,3.8554
MZI,7,15,1.614939,3.8554
MZI,14,10,0.492885,1.1767
MZI,13,11,0.888014,2.1200
MZI,12,12,1.136683,2.7136
MZI,11,13,1.220365,2.9134
MZI,10,14,1.220365,2.9134
MZI,9,15,1.220365,2.9134
MZI,14,12,0.465751,1.1119
MZI,13,13,0.745522,1.7798
MZI,12,14,0.833748,1.9904
MZI,11,15,0.833748,1.9904
MZI,14,14,0.350841,0.8376
MZI,13,15,0.463235,1.1059
OUT,0,,-3.141593,-7.5000
OUT,1,,-0.981748,-2.3437
OUT,2,,2.748894,6.5625
OUT,3,,-2.064613,-4.9289
OUT,4,,2.058728,4.9149
OUT,5,,-1.924378,-4.5941
OUT,6,,2.591661,6.1871
OUT,7,,-0.594074,-1.4182
OUT,8,,-1.968521,-4.6995
OUT,9,,1.916202,4.5746
OUT,10,,0.934454,2.2308
OUT,11,,-0.684692,-1.6346
OUT,12,,-1.273741,-3.0408
OUT,13,,-2.129675,-5.0842
OUT,14,,-2.326024,-5.5530
OUT,15,,-2.522374,-6.0217
